StudyCategory,Subcategory,category,a_obs,a_price,b_obs,b_price,c_obs,c_price,d_obs,d_price,e_obs,e_price,other_obs,other_price
Poissons transf.,Sardines,en:sardines,75,15.357143,218,22.962961,44,17.565434,23,26.086956,11,15.1851845,,
Poissons transf.,Saumons fumés,en:smoked-salmons,,,,,,,94,54.958336,18,40.821873,,
Poissons transf.,Thons,en:tunas,458,16.037634,188,17.296251,52,10.555555,44,29.118055,,,32,19.6875
Plats préparés,Tous plats préparés,en:meals,1592,6.5584807,2304,8.426667,5621,9.270833,1638,11.265,168,13.479167,67,8.475
Plats préparés,Hamburgers,en:hamburgers,,,,,33,19.23077,87,18.645163,,,,
Plats préparés,Cassoulets,en:cassoulets,24,5.8333335,28,6.5476193,95,6.0,,,,,,
Plats préparés,Chilis,en:chili-con-carne,45,6.0624995,40,12.066666,,,,,,,,
Plats préparés,Choucroutes,en:sauerkrauts,,,27,6.2374997,60,5.073077,,,,,,
Plats préparés,Plats trad. viande,en:meals-with-meat,193,9.380953,562,10.327381,1699,9.964286,287,10.666667,43,15.416667,33,12.966667
Plats préparés,Couscous,en:couscous,97,3.66,40,11.633334,17,11.333333,,,,,,
Plats préparés,Snacking,en:salty-snacks,446,6.703704,141,12.204082,1332,13.163334,2486,11.900001,673,13.571428,34,15.875001
Plats préparés,Gratins,en:gratins,,,,,203,9.675,15,14.84375,,,,
Plats préparés,Paëllas,en:paella,,,44,7.4937496,27,7.1249995,,,,,,
Plats préparés,Parmentiers,en:beef-cottage-pies,,,,,125,9.166666,,,,,,
"Plats préparés,Riz", pâtes ou blé,en:rice-dishes,25,12.923077,232,10.427272,392,11.3,,,,,,
Plats préparés,Lentilles saucisses,en:lentil-dishes,32,8.016667,26,7.2095237,129,5.947368,,,,,,
Plats préparés,Purées,en:purees,110,3.7756412,28,6.86,72,7.688889,,,,,27,7.269231
Plats préparés,Quenelles,en:plain-quenelles,,,,,64,5.8166666,27,13.3,,,,
Plats préparés,Plats poisson,en:meals-with-fish,79,11.75,257,11.78125,426,11.475,64,13.333334,,,20,16.34729
Plats préparés,Tartes feuilletés,en:sweet-pies,,,,,36,16.142857,143,14.8,296,11.048388,,
Plats préparés,Plats végétariens,en:plant-based-meals,214,9.086667,180,10.12,151,8.636364,22,7.6744184,,,,
Soupes,Toutes les soupes,en:soups,109,3.74,348,3.75,494,4.7816668,,,,,120,19.172318
